Start x,Start y,End x,End y,Nav. by wheelchair?,No Stairs?
3262.7,1287.4,2997.9,1230.8,T,T
2505.2,1906.5,2517.1,1851.5,T,T
812.9,1454.8,927.6,1492.2,T,T
1203.7,1133.1,1198.4,1151.6,T,T
1227.8,1097.2,1228.1,1135.4,T,T
1287.5,1073.1,1287.8,1040.8,T,T
1281.2,1035.8,1279.2,1099.8,T,T
1364.6,1023.8,1366.3,943.2,T,T
1931.4,393.2,1912.1,462.5,T,T
1841,464.3,1912.8,481.5,T,T
2261.1,2075.6,2268.9,2189.3,T,T
1228.1,1135.4,1203.7,1133.1,T,T
2212.4,2205,2200.4,2180.6,T,T
1480.9,862.8,1480.1,881.1,T,T
2615.6,1769.8,2615,1802.2,T,T
1730.7,607.2,1743.5,626.1,T,T
2309,2084,2328,2083,T,T
1480.9,900.8,1428,899.3,T,T
1345.2,965.2,1340.9,1059.2,T,T
2477.7,1931.8,2469.7,1928.4,T,T
1721.4,641.5,1723.6,626,T,T
1989.3,359.6,2003.9,359.6,T,T
1423.4,961.9,1424.7,907.8,T,T
1743.5,626.1,1723.6,626,T,T
1838.8,532.8,1827.5,522,T,T
2722.3,1710.2,2689.3,1700,T,T
2142.8,2254.8,2168.8,2255.9,T,T
1225.5,1154.6,1198.4,1151.6,T,T
2689.3,1700,2671.4,1769.8,T,T
1110.3,1241.7,1125,1242,T,T
1287.5,1094.2,1287.5,1073.1,T,T
3366.6,1037.3,3356.9,1077.8,T,T
1228.1,1135.4,1225.5,1154.6,T,T
1480.9,900.8,1480.1,881.1,T,T
2363.8,2056.4,2368.4,2051.8,T,T
1935,385,2039.1,385.1,T,T
2595.3,1876.6,2517.1,1851.5,T,T
1906,533.9,1841,464.3,T,T
1838.8,532.8,1828,549.1,T,T
1480.1,881.1,1510.4,877.4,T,T
2615,1802.2,2626,1802,T,T
1757.1,624.3,1743.5,626.1,T,T
2328,2083,2343,2094,T,T
1759.3,612.4,1757.1,624.3,T,T
2299,2139,2269,2142,T,T
2340.5,2076.5,2350.7,2083.2,T,T
1922.1,461.8,1912.1,462.5,T,T
1721.4,641.5,1721,675,T,T
1935,443.6,1944.6,436.8,T,T
1721.4,641.5,1756.1,642,T,T
2038.6,359.6,2003.9,359.6,T,T
700.4,1571.9,825.5,1663.3,T,T
2505.2,1906.5,2487.6,1959.2,T,T
1935,443.6,1922.1,461.8,T,T
1838.8,532.8,1912.8,481.5,T,T
1944.6,436.8,1947,438,T,T
1912.8,481.5,1912.1,462.5,T,T
1958.5,432.5,1944.6,436.8,T,T
2268.9,2189.3,2269,2142,T,T
2605,1847.9,2615,1802.2,T,T
1151.6,1242.3,1141,1242,T,T
2363.8,2056.4,2382.2,2070.9,T,T
1228.1,1135.4,1277.9,1137.1,T,T
1757.1,624.3,1756.1,642,T,T
2212.4,2205,2268.9,2189.3,T,T
2212.4,2205,2224.8,2233.2,T,T
2343,2094,2299,2139,T,T
1828,549.1,1816.4,590.6,T,T
1521.7,877.9,1510.4,877.4,T,T
2350.7,2083.2,2365.2,2084,T,T
1198.1,1241.7,1198.4,1151.6,T,T
2207.8,2253.2,2168.8,2255.9,T,T
1480.9,900.8,1511,899.3,T,T
1277.9,1137.1,1279.2,1099.8,T,T
2671.4,1769.8,2678.2,1771.2,T,T
1816.4,590.6,1804.7,585.9,T,T
1511,899.3,1510.4,877.4,T,T
1423.4,961.9,1455,956,T,T
1226.1,1195.2,1225.5,1154.6,T,T
1287.5,1094.2,1286.8,1137.8,T,T
2431,2019.6,2382.2,2070.9,T,T
1912.8,481.5,1933.6,479.8,T,T
2365.2,2084,2376.2,2077.9,T,T
1958.5,432.5,1984.6,433.2,T,T
1761.5,650.8,1756.1,642,T,T
1838.8,532.8,1906,533.9,T,T
2376.2,2077.9,2382.2,2070.9,T,T
1808.6,623.8,1757.1,624.3,T,T
1521.7,877.9,1528.2,889.7,T,T
2605,1847.9,2609,1856.2,T,T
